1288717187|v1.00
1313533127|v1.37
1314829616|v1.38
1315613625|v1.39
1317147755|v1.40
1317771780|v1.41
1319673637|v1.42
1321301547|v1.43
1323127524|v1.44
1325096256|v1.46
1326768011|v1.47
1327719260|v1.48
1329195413|v1.49
1330478338|v1.50
1331753582|v1.51
1334606879|v1.52
1336093614|v1.53
1337706907|v1.54
1339461529|v1.55
1340642429|v1.56
1342632695|v1.57
1344907947|v2.00
1346781606|v2.01
1347315579|v2.02
1348609637|v2.03
1349746374|v2.04
1351730520|v2.05
1352148702|v2.06
1353376410|v2.07
1357773708|v2.08
1360108155|v2.09
1361301078|v2.10
1362278031|v2.11
1363710323|v2.12
1365442855|v2.13
1369514944|v2.14
1372827219|v3.0
